Theta, Dist(mm)(Unclean), 
292.544,554.562,
293.95,564.775,
295.203,570.713,
296.312,579.975,
297.702,587.575,
298.872,596.838,
300.108,607.525,
301.404,618.925,
302.717,628.9,
303.887,641.963,
305.156,653.6,
306.546,667.612,
313.451,192.85,
314.747,187.863,
315.544,183.587,
317.357,179.788,
318.653,175.512,
319.949,171.95,
321.262,168.625,
322.559,165.775,
324.338,162.925,
325.64,160.312,
326.953,158.65,
328.25,155.8,
329.546,153.9,
330.903,152.475,
332.199,150.1,
333.512,149.15,
334.808,147.25,
336.105,146.3,
337.418,145.35,
339.214,144.637,
340.01,142.975,
341.812,142.5,
342.598,0,
343.894,0,
345.196,0,
346.498,0,
347.794,0,
349.096,0,
350.392,0,
351.694,0,
352.546,166.25,
353.842,164.587,
355.139,164.35,
356.451,164.113,
357.748,164.113,
359.495,163.637,
Theta, Dist(mm)(Unclean), 
